File Name,Total Time,Tempo,Song Key,Instruments,Note Count
AcousticPiece.mid,39.0,50,Unknown,"24, 6",199
AcrossTheHighlands.mid,220.61516399999996,130,Unknown,"48, 33, 30, 6",3429
ActionNotWords.mid,206.57122200000003,140,Unknown,"81, 29, 30",2668
ActOfRebellion.mid,228.709224,145,Unknown,"33, 30, 55",9088
ADangerousMeeting.mid,121.899673,140,Unknown,"81, 34, 52, 30",3724
ADarkPassage.mid,360.14744800000005,145,Unknown,"33, 11, 51, 88, 30",12164
Adious.mid,218.259328,114,Unknown,"24, 34, 29, 30",6090
ADoomedLover.mid,619.445776,93,Unknown,"1, 30",9385
AdriftAndAtPeace.mid,72.0,80,Unknown,"0, 1, 4, 89",356
ADyingWish.mid,496.80358499999994,160,Unknown,"34, 37, 42, 27, 30",7220
Aerials.mid,241.21612000000002,112,0,"34, 40, 29, 51, 50, 25, 61",3211
Aesthetic.mid,218.93522499999997,123,Unknown,"33, 29, 30",6581
AestheticsOfHate.mid,322.22132,216,Unknown,"34, 27, 29, 30",10552
AFineDayToExit.mid,379.875,120,Unknown,"25, 29, 30, 33",13823
AFoolsParadise.mid,336.259245,138,10,"33, 6, 48, 19, 27, 30",10023
AFortuneInLies.mid,304.16437625,71,Unknown,"33, 16, 50, 117, 125",4449
Afraid_To_Shoot_Strangers.mid,423.46127750000005,72,4,"25, 53, 30, 33",8198
Afterlife.mid,340.83890849999995,154,0,"65, 34, 19, 29, 30",8528
AgainSomeday.mid,84.32424,74,Unknown,"40, 24",359
AgainstTheWind.mid,214.28550000000004,140,Unknown,"33, 4, 52, 85, 90, 30",6085
AgainWillTheFireBurn.mid,247.555308,135,Unknown,"34, 66, 6, 48, 30",5797
AggressivePerfector.mid,133.3,120,Unknown,"34, 30",4782
AgonyIsMyName.mid,301.333032,180,Unknown,"33, 6, 75, 48, 30",9143
AGruesomeTime.mid,264.46127399999995,130,Unknown,"34, 29, 30",6069
AikaMultaaMuistot(EverythingIsNothing).mid,269.47328000000005,114,Unknown,"33, 48, 25, 29, 30",2521
AirGuitarHell.mid,53.6,150,Unknown,"27, 30",1070
AJourneyIntoDarkness.mid,134.74561,118,Unknown,"34, 29, 30",1386
AKeyToNothing.mid,261.0,80,Unknown,"35, 29",2780
AKissToRemember.mid,446.358808,120,Unknown,"40, 25, 34, 30",2967
Alaska.mid,231.72216300000002,175,Unknown,"81, 30, 33",7241
Alcohol.mid,58.588206,170,Unknown,"24, 66",1010
Alexander_The_Great.mid,502.3632140000001,55,7,"33, 52, 25, 26, 27, 30",12307
AlexisDemonstration.mid,304.37964800000003,175,Unknown,30,2225
AlexTruntiagin.mid,281.538424,52,Unknown,"33, 51, 25, 27, 29, 30",1708
AlienNation.mid,330.58071750000005,240,0,"54, 33, 30",5655
ALighterShadeOfGreen.mid,27.2104615,126,Unknown,30,273
Alive copy.mid,199.02430399999997,82,Unknown,"36, 30",4942
Alive.mid,266.181552,110,Unknown,"36, 30",7417
AliveButDead.mid,277.363464,113,Unknown,"26, 34, 29, 30",6330
AliveInAnUltraWorld.mid,219.99978000000002,108,Unknown,"18, 27, 85",2483
AllAboutEve.mid,261.73876400000006,138,Unknown,"81, 25, 85, 30",2558
AllAgainstAll.mid,274.40178975000003,92,Unknown,"34, 29, 30",6729
AllAmericanMan.mid,185.179566,139,Unknown,"34, 29",2997
AllFallsDown.mid,124.897776,98,Unknown,30,813
AllGunsBlazing.mid,244.164896,100,Unknown,"80, 37, 29, 30",7592
AllInTheFamily.mid,294.0,80,Unknown,"29, 30",2859
AllInYourHead.mid,226.722528,155,Unknown,30,2290
AllMyLove.mid,313.367951,95,Unknown,"34, 48, 24, 25, 56, 30",6344
AllNightLong.mid,269.73906300000004,115,10,"0, 16, 34, 29",5098
AllOfTheDamned.mid,296.29281,134,Unknown,"34, 68, 30, 52",6726
AllShookOut.mid,257.217327,115,Unknown,"33, 30",6403
AllSweptAway.mid,256.94104799999997,85,Unknown,"0, 33, 29, 41",5328
AllThatYouAre.mid,353.60841400000004,55,Unknown,"33, 26, 29, 71",5256
AllthePigsAreLinedUp.mid,451.555104,135,0,"0, 33, 6, 38, 81, 113, 116, 55, 29, 126, 127",14066
AllThingsAreQuiteSilent.mid,207.666623,120,Unknown,"73, 25, 35",1308
